NOM_BORNE_RECHARGE,NOM_PARC,ADRESSE,VILLE,PROVINCE,NIVEAU_RECHARGE,MODE_TARIFICATION,TYPE_EMPLACEMENT,LONGITUDE,LATITUDE
"CEA-11470","1013 | BSR | AC | 12505 Lachapelle","12505 Lachapelle Montréal QC H4J 2N2","Montréal","QC","Niveau 2","par heure","sur rue",-73.725888,45.531681
"CEA-11465","1014 | BSR | AC | 9480 Christophe-Colomb","9480 Christophe-Colombe Montréal QC H2M 1Z8","Montréal","QC","Niveau 2","par heure","sur rue",-73.646245,45.55773
"CEA-11481","1014 | BSR | AC | 9480 Christophe-Colomb","9480 Christophe-Colombe Montréal QC H2M 1Z8","Montréal","QC","Niveau 2","par heure","sur rue",-73.646245,45.55773
"CEA-11300","1015 | BSR | AC | 10305 St-Laurent","10305 St-Laurent Montréal QC H3L 2M3","Montréal","QC","Niveau 2","par heure","sur rue",-73.664776,45.548854
"CEA-11306","1015 | BSR | AC | 10305 St-Laurent","10305 St-Laurent Montréal QC H3L 2M3","Montréal","QC","Niveau 2","par heure","sur rue",-73.664776,45.548854
"CEA-11188","1016 | BSR | AC | 10625 Francis","10625 Rue Francis Montréal QC H2C 3A5","Montréal","QC","Niveau 2","par heure","sur rue",-73.660451,45.565287
"CEA-11303","1016 | BSR | AC | 10625 Francis","10625 Rue Francis Montréal QC H2C 3A5","Montréal","QC","Niveau 2","par heure","sur rue",-73.660451,45.565287
"CEA-11144","1017 | BSR | AC | 1545 Henri-Bourassa","1545 Henri Bourassa Montréal QC H3M 1X7","Montréal","QC","Niveau 2","par heure",,-73.678761,45.538195
"CEA-11296","1017 | BSR | AC | 1545 Henri-Bourassa","1545 Henri Bourassa Montréal QC H3M 1X7","Montréal","QC","Niveau 2","par heure",,-73.678761,45.538195
"CEA-12911","1017 | BSR | AC | 1545 Henri-Bourassa","1545 Henri Bourassa Montréal QC H3M 1X7","Montréal","QC","Niveau 2","par heure",,-73.678761,45.538195
"CEA-12872","1017 | BSR | AC | 1545 Henri-Bourassa","1545 Henri Bourassa Montréal QC H3M 1X7","Montréal","QC","Niveau 2","par heure",,-73.678761,45.538195
"CEA-11005","1018 | BSR | AC | 9335 St-Hubert","9335 rue St Hubert Montréal QC H2M 1Y7","Montréal","QC","Niveau 2","par heure","sur rue",-73.64663,45.552489
"CEA-11297","1018 | BSR | AC | 9335 St-Hubert","9335 rue St Hubert Montréal QC H2M 1Y7","Montréal","QC","Niveau 2","par heure","sur rue",-73.64663,45.552489
"CEA-10273","1019 | BSR | AC |  10905 rue Basile-Routhier : Parc Basile-Routhier","10905A rue Basile Routhier Montréal QC H2C 3H5","Montréal","QC","Niveau 2","par heure","sur rue",-73.671647,45.557076
"CEA-10258","1019 | BSR | AC |  10905 rue Basile-Routhier : Parc Basile-Routhier","10905A rue Basile Routhier Montréal QC H2C 3H5","Montréal","QC","Niveau 2","par heure","sur rue",-73.671647,45.557076
"CEA-10291","1019 | BSR | AC |  10905 rue Basile-Routhier : Parc Basile-Routhier","10905A rue Basile Routhier Montréal QC H2C 3H5","Montréal","QC","Niveau 2","par heure","sur rue",-73.671647,45.557076
"CEA-10264","1019 | BSR | AC |  10905 rue Basile-Routhier : Parc Basile-Routhier","10905A rue Basile Routhier Montréal QC H2C 3H5","Montréal","QC","Niveau 2","par heure","sur rue",-73.671647,45.557076
"CEA-11344","1020 | BSR | AC | 2503 Henri-Bourassa E.","2503 Henri-Bourassa E. Montréal QC H2B 1V1","Montréal","QC","Niveau 2","par heure",,-73.653818,45.578361
"CEA-11860","1020 | BSR | AC | 2503 Henri-Bourassa E.","2503 Henri-Bourassa E. Montréal QC H2B 1V1","Montréal","QC","Niveau 2","par heure",,-73.653818,45.578361
"CEA-11922","1021 | BSR | AC | 10940 St-Laurent","10940 Boul St-Laurent Montréal QC H3L 2R1","Montréal","QC","Niveau 2","par heure","sur rue",-73.675831,45.551732
"CEA-11921","1021 | BSR | AC | 10940 St-Laurent","10940 Boul St-Laurent Montréal QC H3L 2R1","Montréal","QC","Niveau 2","par heure","sur rue",-73.675831,45.551732
"CEA-12067","1022 | BSR | AC | 9494 Papineau","9490 papineau Montréal QC H2M 1Z3","Montréal","QC","Niveau 2","par heure","sur rue",-73.64234,45.563191
"CEA-12061","1022 | BSR | AC | 9494 Papineau","9490 papineau Montréal QC H2M 1Z3","Montréal","QC","Niveau 2","par heure","sur rue",-73.64234,45.563191
"CEA-11204","1023 | BSR | AC | 8340 Papineau","8340 Avenue Papineau Montréal QC H2M 2R5","Montréal","QC","Niveau 2","par heure","sur rue",-73.624296,45.555266
"CEA-11581","1023 | BSR | AC | 8340 Papineau","8340 Avenue Papineau Montréal QC H2M 2R5","Montréal","QC","Niveau 2","par heure","sur rue",-73.624296,45.555266
"CEA-12066","1024 | BSR | AC | 1110 Sauvé","1110 Sauvé Montréal QC H2C 1Z9","Montréal","QC","Niveau 2","par heure",,-73.652549,45.556552
"CEA-12055","1024 | BSR | AC | 1110 Sauvé","1110 Sauvé Montréal QC H2C 1Z9","Montréal","QC","Niveau 2","par heure",,-73.652549,45.556552
"CEA-12024","1025 | BSR | AC | 10001 Jules-Crépeau","10001 jules crépeau Montréal QC H4N 2Z3","Montréal","QC","Niveau 2","par heure","sur rue",-73.669591,45.535458
"CEA-12062","1025 | BSR | AC | 10001 Jules-Crépeau","10001 jules crépeau Montréal QC H4N 2Z3","Montréal","QC","Niveau 2","par heure","sur rue",-73.669591,45.535458
"CEA-12120","1026 | BSR | AC | 2425 Gouin E. - Parc de la Visitation","2425 Gouin E Montréal QC H2B 1X7","Montréal","QC","Niveau 2","par heure","sur rue",-73.656739,45.578384
"CEA-12106","1026 | BSR | AC | 2425 Gouin E. - Parc de la Visitation","2425 Gouin E Montréal QC H2B 1X7","Montréal","QC","Niveau 2","par heure","sur rue",-73.656739,45.578384
"CEA-10163","1027 | BSR | AC | 8800 Christophe-Colomb - Complexe Claude Robillard","8800 av Christophe-Colomb Montréal QC H2M 2E7","Montréal","QC","Niveau 2","par heure","sur rue",-73.633156,45.553037
"CEA-10927","1027 | BSR | AC | 8800 Christophe-Colomb - Complexe Claude Robillard","8800 av Christophe-Colomb Montréal QC H2M 2E7","Montréal","QC","Niveau 2","par heure","sur rue",-73.633156,45.553037
"CEA-12294","1027 | BSR | AC | 8800 Christophe-Colomb - Complexe Claude Robillard","8800 av Christophe-Colomb Montréal QC H2M 2E7","Montréal","QC","Niveau 2","par heure","sur rue",-73.633156,45.553037
"CEA-12309","1027 | BSR | AC | 8800 Christophe-Colomb - Complexe Claude Robillard","8800 av Christophe-Colomb Montréal QC H2M 2E7","Montréal","QC","Niveau 2","par heure","sur rue",-73.633156,45.553037
"CEA-10149","1028 | BSR | AC | 12373 Notre-Dame-Des-Anges - Parc Raimbault","12373 Notre-Dame des anges - Parc Raimbault Montréal QC H4J 2C3","Montréal","QC","Niveau 2","par heure","sur rue",-73.717869,45.535572
"CEA-10146","1028 | BSR | AC | 12373 Notre-Dame-Des-Anges - Parc Raimbault","12373 Notre-Dame des anges - Parc Raimbault Montréal QC H4J 2C3","Montréal","QC","Niveau 2","par heure","sur rue",-73.717869,45.535572
"CEA-12524","1029 | BSR | AC | 10265 St-Hubert","10265 St-Hubert Montréal QC H2C 2H6","Montréal","QC","Niveau 2","par heure","sur rue",-73.659593,45.55628
"CEA-12540","1029 | BSR | AC | 10265 St-Hubert","10265 St-Hubert Montréal QC H2C 2H6","Montréal","QC","Niveau 2","par heure","sur rue",-73.659593,45.55628
"CEA-12433","1030 | BSR | AC | 10050 Place de L'Acadie","10050 Place de L'Acadie Montréal QC H4N 0C9","Montréal","QC","Niveau 2","par heure",,-73.6796,45.533331
"CEA-12434","1030 | BSR | AC | 10050 Place de L'Acadie","10050 Place de L'Acadie Montréal QC H4N 0C9","Montréal","QC","Niveau 2","par heure",,-73.6796,45.533331
"CEA-12906","1031 | BSR | AC | 5 Chabanel","5 Chabanel Montréal QC H2N 1N3","Montréal","QC","Niveau 2","par heure","sur rue",-73.651404,45.544186
"CEA-12907","1031 | BSR | AC | 5 Chabanel","5 Chabanel Montréal QC H2N 1N3","Montréal","QC","Niveau 2","par heure","sur rue",-73.651404,45.544186
"CEA-12908","1031 | BSR | AC | 5 Chabanel","5 Chabanel Montréal QC H2N 1N3","Montréal","QC","Niveau 2","par heure",,-73.651404,45.544186
"CEA-11452","10001 | BSR | ANJ | 7070 Jean-Talon","7070 rue Jean-Talon Est Montréal QC H1M 3T4","Montréal","QC","Niveau 2","par heure","sur rue",-73.569315,45.597124
"CEA-11314","10001 | BSR | ANJ | 7070 Jean-Talon","7070 rue Jean-Talon Est Montréal QC H1M 3T4","Montréal","QC","Niveau 2","par heure","sur rue",-73.569315,45.597124
"CEA-11908","10002 | BSR | ANJ | 7111 Marie-Gérin Lajoie","7111 Marie-G Lajoie Montréal QC H1J 2X8","Montréal","QC","Niveau 2","par heure",,-73.585154,45.60534
"CEA-11904","10002 | BSR | ANJ | 7111 Marie-Gérin Lajoie","7111 Marie-G Lajoie Montréal QC H1J 2X8","Montréal","QC","Niveau 2","par heure",,-73.585154,45.60534
"CEA-11323","10004 | BHR | ANJ | 7501 Rondeau","7501 Rondeau Montréal QC H1K 2P3","Montréal","QC","Niveau 2","par heure",,-73.551569,45.616338
"CEA-11156","10004 | BHR | ANJ | 7501 Rondeau","7501 Rondeau Montréal QC H1K 2P3","Montréal","QC","Niveau 2","par heure",,-73.551569,45.616338
"CEA-13322","10005 | BSR | ANJ | 8310 Boulevard Châteauneuf","8310 Boulevard Châteauneuf Montréal QC H1K 1E5","Montréal","QC","Niveau 2","par heure",,-73.557259,45.609779
"CEA-13332","10005 | BSR | ANJ | 8310 Boulevard Châteauneuf","8310 Boulevard Châteauneuf Montréal QC H1K 1E5","Montréal","QC","Niveau 2","par heure",,-73.557259,45.609779
"CEA-13333","10005 | BSR | ANJ | 8310 Boulevard Châteauneuf","8310 Boulevard Châteauneuf Montréal QC H1K 1E5","Montréal","QC","Niveau 2","par heure",,-73.557259,45.609779
"CEA-13325","10005 | BSR | ANJ | 8310 Boulevard Châteauneuf","8310 Boulevard Châteauneuf Montréal QC H1K 1E5","Montréal","QC","Niveau 2","par heure",,-73.557259,45.609779
